銘柄コード,デ－タ,単位,項目,前年,当年
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",営業活動によるキャッシュ・フロー,"123,701","222,918"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",減価償却費,"11,968","12,215"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",固定資産の取得による支出,"△103,467","△97,891"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",固定資産の売却による収入,"6,475","5,492"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",営業活動によるキャッシュ・フロー,"123,701","222,918"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",減価償却費,"11,968","12,215"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",固定資産の取得による支出,"△103,467","△97,891"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",固定資産の売却による収入,"6,475","5,492"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",営業活動によるキャッシュ・フロー,"123,701","222,918"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",減価償却費,"11,968","12,215"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",固定資産の取得による支出,"△103,467","△97,891"
72020,有価証券報告書－第119期(令和2年4月1日－令和3年3月31日),"
(単位：百万円)
",固定資産の売却による収入,"6,475","5,492"
